Year,Category,Total,Average,Count
2005,Other/NA,78687,3576.68181818,22
2006,Other/NA,28132199,4763.32526244,5906
2007,Auto,32750,5458.33333333,6
2007,Business,745846,9686.31168831,77
2007,Debt,1398440,7062.82828283,198
2007,Home,112951,7530.06666667,15
2007,Other/NA,77890630,7057.22841352,11037
2007,Personal,565465,4960.21929825,114
2007,Student,41704,3208.0,13
2008,Auto,1447251,4508.57009346,321
2008,Business,15985895,8900.83240535,1796
2008,Debt,30403591,6257.17040543,4859
2008,Home,4346139,7171.84653465,606
2008,Other/NA,5240167,4267.23697068,1228
2008,Personal,10347761,4536.50197282,2281
2008,Student,1791046,3885.13232104,461
2009,Auto,340950,2771.95121951,123
2009,Business,1177640,5477.39534884,215
2009,Debt,4748897,5073.60790598,936
2009,Home,853550,4445.57291667,192
2009,Other/NA,1479125,3215.48913043,460
2009,Student,314234,2596.97520661,121
2010,Auto,1041099,3493.62080537,298
2010,Business,3048868,5543.39636364,550
2010,Debt,14312342,5346.41090773,2677
2010,Home,2859222,5344.34018692,535
2010,Other/NA,5168925,3612.10691824,1431
2010,Student,510030,3167.88819876,161
2011,Auto,3125156,4771.23053435,655
2011,Business,9132101,7622.78881469,1198
2011,Debt,38836305,7226.70357276,5374
2011,Home,8692250,6887.67828843,1262
2011,Medical,57000,4071.42857143,14
2011,Other/NA,15234201,5613.19123066,2714
2011,Taxes,38000,6333.33333333,6
2011,Vacation,8000,4000.0,2
2011,Wedding,15000,5000.0,3
2012,Auto,4755097,5446.8465063,873
2012,Business,15104587,8958.82977461,1686
2012,Debt,82785155,8852.13376818,9352
2012,Home,22274981,6801.52091603,3275
2012,Medical,4310530,5970.26315789,722
2012,Other/NA,16084313,6538.33861789,2460
2012,Taxes,2874348,6532.60909091,440
2012,Vacation,2149322,5386.77192982,399
2012,Wedding,2836783,8198.79479769,346
2013,Auto,3369632,6333.89473684,532
2013,Business,14776354,11236.7711027,1315
2013,Debt,285768182,11307.2520872,25273
2013,Home,24961084,8533.70393162,2925
2013,Medical,4187856,6809.52195122,615
2013,Other/NA,21618721,8009.90033346,2699
2013,Taxes,2859409,8240.37175793,347
2013,Vacation,1650078,5305.7170418,311
2013,Wedding,2978962,9082.20121951,328
2014,Auto,863952,7199.6,120
2014,Business,4203900,11942.8977273,352
2014,Debt,119483285,12395.8175122,9639
2014,Home,6598121,10659.3231018,619
2014,Medical,1374550,8038.30409357,171
2014,Other/NA,10245898,9957.14091351,1029
2014,Taxes,936920,10183.9130435,92
2014,Vacation,307310,5487.67857143,56
2014,Wedding,981600,10442.5531915,94
